prompt,turn_num,num_statements,visibility
prompt5,2,4,explicit
prompt5,3,5,explicit
prompt5,4,5,explicit
prompt5,5,5,explicit
prompt5,6,8,explicit
prompt5,7,5,explicit
prompt5,8,8,explicit
prompt5,9,3,explicit
prompt5,10,4,explicit
prompt5,11,5,explicit
prompt5,12,4,explicit
prompt5,13,6,explicit
prompt5,14,5,explicit
prompt5,15,7,explicit
prompt5,16,5,explicit
prompt5,17,3,explicit
prompt5,18,4,explicit
prompt5,1,4,explicit
prompt5,2,6,explicit
prompt5,3,5,explicit
prompt5,4,6,explicit
prompt5,5,5,explicit
prompt5,6,0,explicit
prompt5,7,8,explicit
prompt5,8,8,explicit
prompt5,9,4,explicit
prompt5,10,7,explicit
prompt5,11,4,explicit
prompt5,12,7,explicit
prompt5,13,4,explicit
prompt5,14,8,explicit
prompt5,15,3,explicit
prompt5,16,6,explicit
prompt5,17,7,explicit
prompt5,1,5,explicit
prompt5,2,7,explicit
prompt5,3,10,explicit
prompt5,4,4,explicit
prompt5,5,8,explicit
prompt5,6,2,explicit
prompt5,7,6,explicit
prompt5,8,8,explicit
prompt5,9,10,explicit
prompt5,10,6,explicit
prompt5,11,3,explicit
prompt5,12,5,explicit
prompt5,13,8,explicit
prompt5,14,4,explicit
prompt5,1,8,explicit
prompt5,2,7,explicit
prompt5,3,7,explicit
prompt5,4,7,explicit
prompt5,5,3,explicit
prompt5,6,7,explicit
prompt5,7,5,explicit
prompt5,8,5,explicit
prompt5,9,7,explicit
prompt5,10,4,explicit
prompt5,11,9,explicit
prompt5,12,3,explicit
prompt5,13,6,explicit
prompt5,14,4,explicit
prompt5,15,4,explicit
prompt5,16,5,explicit
prompt5,17,2,explicit
prompt5,18,10,explicit
prompt5,19,10,explicit
prompt5,20,4,explicit
prompt5,21,4,explicit
prompt5,22,5,explicit
prompt5,23,4,explicit
prompt5,24,7,explicit
prompt5,25,4,explicit
prompt5,26,8,explicit
prompt5,27,5,explicit
prompt5,28,8,explicit
prompt5,29,4,explicit
prompt5,30,3,explicit
prompt5,31,8,explicit
prompt5,32,5,explicit
prompt5,33,6,explicit
prompt5,34,3,explicit
prompt5,35,7,explicit
prompt5,36,8,explicit
prompt5,37,7,explicit
prompt5,38,8,explicit
prompt5,39,5,explicit
prompt5,40,10,explicit
prompt5,41,4,explicit
prompt5,42,7,explicit
prompt5,43,3,explicit
prompt5,44,10,explicit
prompt5,45,8,explicit
prompt5,46,10,explicit
prompt5,47,5,explicit
prompt5,48,10,explicit
prompt5,49,4,explicit
prompt5,50,6,explicit
prompt5,51,4,explicit
prompt5,52,10,explicit
prompt5,53,4,explicit
prompt5,54,5,explicit
prompt5,55,3,explicit
prompt5,56,10,explicit
prompt5,57,4,explicit
